,Category ,Sub Category ,Part Name on Website,Durauto Part #,Brand,Description,Application ,Specification,Availaibility,Price,Weight,Cross Reference #
,,,,,,,,,,,,
,Air Brake ,Air/Electrical Connectors and Assemblies,Air Brake 3-in-1 line (12 Feet),DP-ABH-12,Durauto,"Airpower 3 in 1 Line 12 Feet
Assembly Length - 12 ft
Air Line Color - Black
7-Way Metal w/Spring  ",Universal,"Assembly Length - 12 ft
Air Line Color - Black
Gladhand Grip - No
Gladhand - Not Included
",,,12.6 lbs,302151
,Air Brake ,Air/Electrical Connectors and Assemblies,Air Brake 3-in-1 line (15 Feet),DP-ABH-15,Durauto,"Airpower 3 in 1 Line 15 Feet
Assembly Length - 15 ft
Air Line Color - Black
7-Way Metal w/Spring  ",Universal,"Assembly Length - 15 ft
Air Line Color - Black
Gladhand Grip - No
Gladhand - Not Included
",,,13.7 lbs,302171
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit Q+23K 16.500in X 7.000in,DP-23K-4707,Durauto,Brake Shoe Kit 16.500in X 7.000in,Meritor Q Plus,"Drum Diameter - 16.500""
Shoe Width - 7.000"" 
Rating - 23K Lbs Premium Heavy Duty      
Grade - AMF3085
Roller End - Open
Web - Double                
Application - Dana/Spicer, Hendrickson Trailer, Meritor     ",,,39.85 lbs,"EX4707Q23KPREM, GD4707QJ, KE4707Q23KPREM, KSF5574707QP, KSMA3124707QP"
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit EII 23K 16.500in X 7.000in,DP-23K-4709,Durauto,Brake Shoe Kit 16.500in X 7.000in,"Eaton, Fruehauf","Drum Diameter - 16.500""
Shoe Width - 7.000"" 
Rating - 23K Lbs Premium Heavy Duty     
Grade - AMF3085
Roller End - Open
Web - Double                
Application - Eaton ESII  ",,,39.85 lbs,EX4709E223KPREM
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit Q+ 23K 16.500in X 7.000in,DP-23K-4515,Durauto,Brake Shoe Kit 16.500in X 7.000in,Meritor,"Drum Diameter - 16.500""
Shoe Width - 7.000"" 
Rating - 23K Lbs Premium Heavy Duty     
Grade - AMF3085
Roller End - Open
Web - Double                
Application - Meritor Q ",,,38.2 lbs,HV884515QJ
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit Q+23K 16.500in X 7.000in,DP-23K-4715,Durauto,Brake Shoe Kit 16.500in X 6.000in,Meritor,"Drum Diameter - 16.500""
Shoe Width - 6.000"" 
Rating - 23K Lbs Premium Heavy Duty     
Grade - AMF3085
Roller End - Open
Web - Double                
Application - Meritor Q ",,,,
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit 23K 16.500in X 7.000in,DP-23K-4711,Durauto,Brake Shoe Kit 16.500in X 8.625in,Meritor,"Drum Diameter - 16.500""
Shoe Width - 8.625"" 
Rating - 23K Lbs Premium Heavy Duty     
Grade - AMF3085
Anchor End - Open
Roller End - Open
Web - Double                
Application - Meritor Q Plus ",,,48 lbs,4711
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit ESII 23K 16.500in X 7.000in,DP-23K-4719,Durauto,Brake Shoe Kit 16.500in X 5.000in,Eaton,"Drum Diameter - 16.500""
Shoe Width - 5.000"" 
Rating - 23K Lbs Premium Heavy Duty     
Grade - AMF3085
Anchor End - Open
Roller End - Open
Web - Double                
Application - Eaton ESII",,,29 lbs,4719
,Air Brake ,Brake Shoe Kits,Brake Shoe Kit Q+23K 16.500in X 7.000in,DP-23K-4710,Durauto,,,,,,,
